rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,freight_scheduled_passenger_aircraft_foreign_EU,freight_scheduled_cargo_aircraft_foreign_EU,freight_charter_passenger_aircraft_foreign_EU,freight_charter_cargo_aircraft_foreign_EU,freight_scheduled_passenger_aircraft_foreign_non_EU,freight_scheduled_cargo_aircraft_foreign_non_EU,freight_charter_passenger_aircraft_foreign_non_EU,freight_charter_cargo_aircraft_foreign_non_EU,freight_schedueld_passenger_aircraft_UK,freight_scheduled_cargo_aircraft_UK,freight_charter_passenger_aircraft_UK,freight_charter_cargo_aircraft_UK
11/03/2020 10:21:21,202001,Other UK Airports,  SCATSTA,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.161000,0.000000,0.000000,0.000000,18.326000,0.000000
11/03/2020 10:21:21,202001,Other UK Airports,  SOUTHAMPTON,3.678000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.715000,0.000000,0.000000,0.000000
11/03/2020 10:21:21,202001,Other UK Airports,  STORNOWAY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.597000,0.000000,0.000000,0.000000
11/03/2020 10:21:21,202001,Other UK Airports,  SUMBURGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.611000,0.000000,12.157000,0.000000,8.877000,0.000000
11/03/2020 10:21:21,202001,Other UK Airports,  TEESSIDE INTERNATIONAL AIRPORT,0.000000,0.000000,0.000000,8.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11/03/2020 10:21:21,202001,Other UK Airports,  TIREE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.828000,0.025000,0.000000,0.000000
11/03/2020 10:21:21,202001,Non UK Reporting Airports,  ALDERNEY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.121000,0.000000,0.000000,0.000000
11/03/2020 10:21:21,202001,Non UK Reporting Airports,  GUERNSEY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.179000,0.000000,0.000000,53.601000
11/03/2020 10:21:21,202001,Non UK Reporting Airports,  ISLE OF MAN,0.179000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.401000,0.000000,0.000000,4.653000
11/03/2020 10:21:21,202001,Non UK Reporting Airports,  JERSEY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.459000,5.558000,0.000000,42.423000

